Date/Time;Electricity:Facility [kW](Hourly);Fans:Electricity [kW](Hourly);Cooling:Electricity [kW](Hourly);Heating:Electricity [kW](Hourly);InteriorLights:Electricity [kW](Hourly);InteriorEquipment:Electricity [kW](Hourly);Gas:Facility [kW](Hourly);Heating:Gas [kW](Hourly);InteriorEquipment:Gas [kW](Hourly);Water Heater:WaterSystems:Gas [kW](Hourly)
 06/09  05:00:00;939,8815145;95,64400222;472,3127001;0;100,1506573;149,8943994;550,5370422;527,6791486;14,1616749;8,696218677
 06/09  06:00:00;1153,818012;98,35249717;466,7417566;0;176,4710373;302,6124365;447,2264918;401,5299181;28,3233498;17,37322394
 06/09  07:00:00;1273,747011;101,4015361;461,244096;0;243,2593065;310,1097119;430,957066;370,9603079;42,48502471;17,5117333
 06/09  08:00:00;1306,756781;102,815322;451,040993;0;243,2593065;310,1097119;438,461573;355,4490585;56,64669961;26,3658149
 06/09  09:00:00;1335,750431;104,0199032;445,2144429;0;243,2593065;302,6124365;404,9284852;335,9922552;42,48502471;26,45120526
 06/09  10:00:00;1329,24009;105,0896285;428,966652;0;243,2593065;310,1097119;428,1739666;321,9375394;70,80837451;35,42805267
 06/09  11:00:00;1315,8558;106,1615045;412,0819976;0;243,2593065;310,1097119;423,6651422;317,3757929;70,80837451;35,48097477
 06/09  12:00:00;1265,34525;107,512433;401,1446444;0;243,2593065;310,1097119;408,9347835;311,6230144;70,80837451;26,50339458
 06/09  13:00:00;1294,302932;109,2272358;395,452866;0;243,2593065;302,6124365;395,2711942;303,134909;56,64669961;35,48958563
 06/09  14:00:00;1291,999268;111,1105992;391,3030645;0;243,2593065;302,6124365;368,9312553;291,0186565;42,48502471;35,42757414
 06/09  15:00:00;1288,575294;113,0857958;386,2526762;0;243,2593065;302,6124365;358,4192453;275,2366412;56,64669961;26,53590441
 06/09  16:00:00;1297,087559;114,5349732;386,642395;0;243,2593065;310,1097119;381,7456732;270,3599891;84,97004941;26,41563471
 06/09  17:00:00;1304,870337;115,2138364;392,9028684;0;243,2593065;310,1097119;377,2487884;274,814191;84,97004941;17,46454793
 06/09  18:00:00;1053,283262;94,71476999;428,0425046;0;166,9389264;199,1109338;386,0707104;283,6867073;84,97004941;17,41395368
 06/09  19:00:00;1059,22309;94,71476999;438,1170521;0;166,9389264;191,6136585;383,3619954;309,3019908;56,64669961;17,41330492
 06/09  20:00:00;937,9654465;94,71476999;439,3028213;0;100,1506573;124,5586935;424,5990531;359,2345551;56,64669961;8,717798464
 06/09  21:00:00;901,9794593;94,71476999;443,0106837;0;100,1506573;124,5586935;430,340499;370,4785068;42,48502471;17,37696743
 06/09  22:00:00;836,82019;94,71476999;445,1791303;0;46,09303362;124,5586935;427,5730575;390,5531568;28,3233498;8,696550917
 06/09  23:00:00;830,8441945;94,71476999;437,6644042;0;46,09303362;124,5586935;419,1725958;396,3141513;14,1616749;8,696769545
 06/09  24:00:00;821,8952385;94,71476999;441,3793638;0;46,09303362;113,3127805;423,9980072;400,9590155;5,664669961;17,37432167
 06/10  01:00:00;825,2742674;94,71476999;445,1804449;0;46,09303362;113,3127805;419,7119079;405,3527594;5,664669961;8,694478454
 06/10  02:00:00;824,87945;94,71476999;444,7896135;0;46,09303362;113,3127805;431,7501996;408,7150388;5,664669961;17,3704908
 06/10  03:00:00;828,322958;94,71476999;448,6102846;0;46,09303362;113,3127805;427,4532632;413,0930482;5,664669961;8,695545013
 06/10  04:00:00;845,4934807;94,71476999;456,3351754;0;55,62514452;113,3127805;420,3079616;405,9475379;5,664669961;8,695753789
 06/10  05:00:00;843,5134376;94,71476999;458,6467548;0;55,62514452;113,3127805;439,1124473;407,5786332;14,1616749;17,37213915
 06/10  06:00:00;904,3462827;94,71476999;457,9940146;0;65,15725541;176,8892702;383,9283553;346,9086196;28,3233498;8,696385827
 06/10  07:00:00;1019,277303;95,03524815;450,7113439;0;109,6827682;220,9681645;512,1543424;460,9727114;42,48502471;8,696606373
 06/10  08:00:00;1026,299525;95,14097372;447,319481;0;109,6827682;220,9681645;486,808889;412,7142401;56,64669961;17,44794929
 06/10  09:00:00;1126,407542;96,5284748;438,2411157;0;131,9455246;266,9558176;443,5368878;374,7882012;42,48502471;26,2636619
 06/10  10:00:00;1123,992985;96,71023914;427,307579;0;131,9455246;274,4530929;443,6119995;355,2225309;70,80837451;17,58109409
 06/10  11:00:00;1115,158357;96,76195133;416,2050604;0;131,9455246;274,4530929;447,6849338;350,515771;70,80837451;26,36078826
 06/10  12:00:00;1084,38795;96,81218082;417,4084994;0;131,9455246;274,4530929;443,0496689;345,8856397;70,80837451;26,35565465
 06/10  13:00:00;1082,754228;96,86884177;423,9627822;0;131,9455246;266,9558176;425,8209632;342,8185531;56,64669961;26,35571054
 06/10  14:00:00;1083,549854;97,15957937;424,7753754;0;131,9455246;266,9558176;404,4500454;335,6099163;42,48502471;26,3551044
 06/10  15:00:00;1007,490911;94,71476999;427,9151989;0;109,6827682;212,5458892;334,8987846;260,6766043;56,64669961;17,57548066
