;name;address;latitude;longitude;avg_rating;avg_price;category;review_count
36;风暴迪斯科舞厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区天钥桥路40-90号汇联商厦1楼;31.193228;121.44103;30.0;0.0;KTV;8
37;钱柜(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区新会路139号;31.2416;121.44256;40.0;70.0;KTV;3050
38;晶莎舞厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);嘉定区镇塔城路279号;31.383806;121.25771;0.0;0.0;KTV;3
39;大康歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区共康路555号3楼;31.321049;121.43556;30.0;41.0;KTV;94
40;大歌星量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区邯郸路600号万达商业广场3楼;31.300974;121.514;30.0;52.0;KTV;2287
41;钱柜(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区四川北路1661号凯鸿商场内;31.257704;121.482704;40.0;70.0;KTV;3881
42;黄金海岸(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);金山区金山区石化隆安路357号;30.717506;121.34415;0.0;0.0;KTV;5
43;乐凯迪KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区曲阳路566号6楼;31.279684;121.49105;35.0;48.0;KTV;359
44;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);嘉定区清河路2号中鸿百货3楼;31.386602;121.251305;40.0;41.0;KTV;413
45;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区淞沪路8号百联又一城9楼;31.301514;121.515114;40.0;47.0;KTV;3328
46;金顶皇宫夜总会(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区中山南二路500号奥林匹克俱乐部;31.189821;121.46077;30.0;0.0;KTV;5
47;畅博阁量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区汶水东路481号2楼;31.290108;121.48013;30.0;0.0;KTV;8
48;麦迪森(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区田林路118号4楼;31.17038;121.41646;30.0;54.0;KTV;596
49;皇玛会所(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区同心路1号华联吉买盛内;31.266712;121.4794;30.0;0.0;KTV;25
50;皇宫KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区乌镇路118号;31.242397;121.46701;0.0;0.0;KTV;1
51;热滚99(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区吴中路1339号;31.172716;121.37468;30.0;32.0;KTV;121
52;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区四川北路1885号多伦生活广场3楼;31.26166;121.48364;40.0;44.0;KTV;1571
53;钱柜(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区天钥桥路580号星游城6楼;31.185318;121.44236;40.0;80.0;KTV;8632
54;秀声文化录音棚(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区建国中路3号建国大厦402室;31.210306;121.471794;30.0;108.0;KTV;7
55;太阳城音乐广场(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区沪闵路131号西南商场4楼;31.002056;121.42562;30.0;29.0;KTV;175
56;音悦汇(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区长阳路1687号;31.271088;121.53592;20.0;19.0;KTV;103
57;水晶宫KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区乌镇路118号;31.242397;121.46701;0.0;0.0;KTV;1
58;歌笙(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区牡丹江路1255号安信商业广场C区;31.394321;121.48769;30.0;200.0;KTV;34
59;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区南京东路步行街809号百联世茂国际广场2期10楼;31.234789;121.47533;40.0;56.0;KTV;3357
60;金樽KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区金桥路1391号;31.25288;121.588715;30.0;438.0;KTV;53
61;金色殿堂(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区永兴路258号;31.253204;121.47309;0.0;0.0;KTV;1
62;音乐百度量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区崮山路717号华联吉买盛楼4楼;31.239119;121.560455;30.0;614.0;KTV;143
63;龙池卡拉OK(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区临汾路828弄;31.311056;121.451;0.0;0.0;KTV;3
64;乐翻天量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区聚丰园路165号沃尔玛超市3楼;31.315434;121.382034;35.0;35.0;KTV;139
65;难忘今宵KTV娱乐会(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区乌镇路118号;31.242397;121.46701;0.0;0.0;KTV;4
66;梦金宵KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区海宁路1388号;31.244478;121.468704;0.0;0.0;KTV;2
67;美好时光KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区海宁路1388号;31.244478;121.468704;0.0;0.0;KTV;1
68;加洲红KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区海宁路1399号金城大厦内;31.244274;121.46835;30.0;0.0;KTV;1
69;扬歌量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区惠南镇南门大街18号乐购5楼;31.042164;121.75557;40.0;34.0;KTV;412
70;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区南京西路2-68号新世界11楼;31.23495;121.47408;40.0;45.0;KTV;11069
71;金迪娱乐总汇(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区长阳路1680号;31.270002;121.53565;30.0;0.0;KTV;9
72;明星廊KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区盘古路365号;31.408895;121.48446;35.0;0.0;KTV;15
73;大回音量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区控江路1688号;31.274368;121.51463;30.0;34.0;KTV;288
74;卡乐迪KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区行知路677号4楼;31.2833;121.40861;35.0;32.0;KTV;83
75;水门汀演艺(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);嘉定区环城路2390号;31.382969;121.238495;30.0;0.0;KTV;19
76;海鸥大厦KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);金山区金山区石化龙胜西路58号;30.730145;121.35201;30.0;0.0;KTV;8
77;钱柜(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区浦东南路1118号上海湾B1楼;31.227966;121.51548;40.0;71.0;KTV;4835
78;外滩8弄专业录音棚(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区中山东一路8弄18号;31.23526;121.49021;40.0;107.0;KTV;205
79;佳华会所(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区密山路22号;31.403948;121.48857;30.0;0.0;KTV;3
80;丽都OK厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);嘉定区清河路48号商城对面;31.384354;121.24806;30.0;0.0;KTV;4
81;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);静安区江宁路167号食博汇4楼;31.230507;121.455;40.0;62.0;KTV;1846
82;梦今宵KTV娱乐总汇(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区止园路9 9号;31.255756;121.47109;30.0;0.0;KTV;2
83;东方丽人KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区洛川东路211号;31.271404;121.46383;30.0;423.0;KTV;23
84;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区沪闵路7250号南方商城6楼;31.131727;121.4007;40.0;51.0;KTV;1907
85;自由麦克(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区西乡路226号3楼;31.268541;121.427444;35.0;36.0;KTV;231
86;朱家角影剧院(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);青浦区朱家角镇祥凝浜路东侧院内;31.109604;121.05943;30.0;0.0;KTV;6
87;月香谷(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区虹漕南路9号;31.1641;121.41224;0.0;0.0;KTV;3
88;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区真华路950号1-2楼;31.27293;121.41169;40.0;47.0;KTV;1217
89;金色豪门(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区曲阳路789号4-5楼;31.28974;121.49009;30.0;530.0;KTV;12
90;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区真光路1288号百联购物广场1楼;31.245796;121.383;40.0;50.0;KTV;1691
91;ennuo音诺录音棚(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区金沙江路129号604室;31.231417;121.40649;30.0;0.0;KTV;2
92;超越神话(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);金山区石化临桂路2688号;30.720043;121.32955;30.0;0.0;KTV;13
93;阳光灿烂KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区淮海中路1936号;31.204075;121.4377;0.0;0.0;KTV;2
94;添盛居茶馆(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区张杨路1731号;31.237427;121.54729;35.0;54.0;KTV;41
95;爱丽特舞厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区罗店镇新街15号;31.413273;121.342354;30.0;0.0;KTV;1
96;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);长宁区天山路762号泓鑫广场F6-01/02;31.211662;121.40196;40.0;52.0;KTV;1562
97;星鸿KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);松江区松江新桥镇新育路新菜场三区;31.064013;121.322235;30.0;0.0;KTV;2
98;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);奉贤区奉贤区南桥镇百齐路588号百联南桥购物中心4楼;30.914003;121.4854;40.0;43.0;KTV;697
99;红宝石KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区中华新路288弄;31.256096;121.47197;0.0;0.0;KTV;3
100;扬歌量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区牡丹江路1588号;31.400751;121.48363;35.0;40.0;KTV;621
101;新世界KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区山西北路388弄1号;31.246828;121.48017;0.0;0.0;KTV;4
102;唯一娱乐(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);松江区新松江路925号开元地中海商业广场4楼;31.03875;121.21849;35.0;41.0;KTV;425
103;美好时光KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区长寿路181号;31.24244;121.44086;30.0;0.0;KTV;4
104;天天唱吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区翔殷路;31.30553;121.54528;30.0;0.0;KTV;2
105;白金商务娱乐会所俱乐部(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区吴中路1389号3楼;31.172699;121.37425;30.0;0.0;KTV;3
106;夏园KTV娱乐广场(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区牡丹江路1081号夏园宾馆南3楼;31.390936;121.49089;30.0;0.0;KTV;5
107;晶忆国际会所(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区七莘路2099号;31.140621;121.35867;30.0;0.0;KTV;3
108;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区淞沪路151号中环大厦3楼;31.303345;121.51339;40.0;42.0;KTV;2265
109;金沙湾KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区华夏东路;31.20027;121.7046;30.0;0.0;KTV;9
110;IDOL8录音棚(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区长寿路97号世纪商务大厦21楼;31.24317;121.44312;30.0;0.0;KTV;2
111;大回音量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区临汾路810号3楼;31.310883;121.451775;30.0;20.0;KTV;71
